Random Set,KK Result
0,355574
1,168540
2,97125
3,3089
4,497365
5,5337
6,52532
7,33798
8,257935
9,196478
10,35666
11,361684
12,224994
13,273619
14,378083
15,177682
16,46265
17,48541
18,684453
19,23549
20,47576
21,74604
22,99378
23,604672
24,279400
25,32657
26,62288
27,92803
28,107241
29,82921
30,106254
31,317720
32,48728
33,191396
34,12945
35,17314
36,383898
37,274122
38,118484
39,161435
40,68815
41,131184
42,101092
43,62405
44,124372
45,23388
46,46324
47,4109247
48,18726
49,586238
